Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,632.001146190196,683.324363124911,722.874793145171,704.029916035493,772.152395143237
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4357.00093554628,4722.0424231414,4696.15058555612,4255.74299321254,5023.27437961979
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,44652.5891722719,47939.2782884504,46793.6867616004,46772.8253507545,51203.5544731043
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,1998.73797992081,2180.04157022729,2167.91158941087,2176.57945945697,2363.29929621422
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,18582.0893411631,19756.990456255,19144.284387556,17658.9473011192,20192.5963039061
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,50766.5994182748,54545.2999786248,53256.2440862119,54571.2091605745,..
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,9309.23066697663,9574.27987254478,9887.92074235834,8437.56673228706,9010.57224466261
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,35663.0250406273,35902.725903793,37752.633077142,34780.8616624614,35904.8635462723
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,4454.04814983548,4485.73125489372,4647.69334663252,4604.57667897864,5025.5422907779
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,843.464278862423,944.417266210548,1043.8998820932,1073.65933709951,1189.17599946631
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,718.2457991071,781.644309083979,730.611448705215,710.258138543444,795.118569260485
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,6220.97856820609,6094.90885870963,6477.29672607993,6863.07434593017,9998.54431136155
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1384.0383724393,1494.2249622283,1324.84400548618,1283.14082978936,1829.59304417211
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2403.30445120081,2457.68892139081,2519.37019370185,2354.11961431042,2771.71746050946
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,46160.429791493,48537.5668888343,48356.0635043614,46107.7652757721,49800.5424137576
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,14621.2395956755,16425.1012999059,16782.9524639857,16120.9890495243,18728.1218948689
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,72010.1490316258,74461.479998678,68853.71521658,59200.1779441092,68727.636664709
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1957.968841235,1974.37778792366,2047.23270433512,1910.42147282449,2256.59040870506
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3839.78506857872,3902.6616681577,4151.22754296453,3894.27220196922,4332.70928089396
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,5758.59071996595,3873.99534020792,3277.875595507,2746.42044957439,4091.20918670534
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,4725.19357334032,5601.46706102705,5621.18169491752,4332.30412463995,4775.3774539013
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,69970.9489145762,79250.3878517684,80927.0746710666,85420.1908556097,100172.079253421
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,83507.7976140431,89429.6545852014,87157.4714603395,..,..
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,41114.7817082553,42406.8454263606,44452.2325623093,44846.7915954816,52170.7118623335
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,32406.7203150134,34622.1696664741,33673.7509627421,31911.0357890017,35657.4975631691
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5273.15074381723,5594.49393466948,5626.17117652759,4897.26589668631,5183.58130458676
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,38834.0529341227,39727.1165995928,40458.0018755824,39918.1675583443,39312.6603730693
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4073.11640376315,4146.40729580484,4205.56365350106,4042.7693498462,4103.25896599583
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,9247.58133129626,9812.62637077396,9812.5958082732,9121.63713797145,10373.7897924367
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1675.97391639619,1845.78294001398,1970.10514317888,1936.42458891104,2081.79985458438
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1563.55045683718,1605.01364964695,1432.17898537689,1430.55157354026,1606.46251377314
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,31616.8434004683,33436.9230646064,31902.4169048194,31721.2989141857,34997.7816427848
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4009.38098680368,4384.0488917319,4416.10835754636,4310.81118337317,5269.78390114389
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,29263.089648236,32007.5235352632,30667.3482202553,24300.32943621,..
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1242.76964282023,1308.14016549619,1374.03210467421,1182.52170043018,1276.7003650159
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2439.4633552251,2553.36186646266,2598.50552320723,2593.35509719847,2535.6234315211
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,15695.1151541059,17865.0310947642,17945.2222164984,18207.1396408631,21148.1629405415
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,8679.8974221128,9225.84515488016,8985.57249887356,5599.95752260733,4136.14634699332
